T03,Population growth and indicators of fertility and mortality,,,,,
499,Montenegro,2020,Life expectancy at birth for females (years),79.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
499,Montenegro,2025,Population annual rate of increase (percent),-1.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
499,Montenegro,2025,Total fertility rate (children per women),1.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
499,Montenegro,2025,"Under five mortality rate for both sexes (per 1,000 live births)",3.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
499,Montenegro,2025,Life expectancy at birth for both sexes (years),77.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
499,Montenegro,2025,Life expectancy at birth for males (years),74.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
499,Montenegro,2025,Life expectancy at birth for females (years),80.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2010,Population annual rate of increase (percent),1.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2010,Total fertility rate (children per women),1.6,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2010,"Under five mortality rate for both sexes (per 1,000 live births)",10.0,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2010,Life expectancy at birth for both sexes (years),74.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2010,Life expectancy at birth for males (years),72.8,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2010,Life expectancy at birth for females (years),77.2,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2015,Population annual rate of increase (percent),-0.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2015,Total fertility rate (children per women),1.5,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2015,"Under five mortality rate for both sexes (per 1,000 live births)",8.4,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2015,Life expectancy at birth for both sexes (years),75.1,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2015,Life expectancy at birth for males (years),73.2,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2015,Life expectancy at birth for females (years),77.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2020,Population annual rate of increase (percent),-0.8,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2020,Total fertility rate (children per women),2.0,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2020,"Under five mortality rate for both sexes (per 1,000 live births)",7.1,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2020,Life expectancy at birth for both sexes (years),75.6,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2020,Life expectancy at birth for males (years),73.4,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2020,Life expectancy at birth for females (years),78.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2025,Population annual rate of increase (percent),-0.6,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2025,Total fertility rate (children per women),1.4,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2025,"Under five mortality rate for both sexes (per 1,000 live births)",6.0,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
500,Montserrat,2025,Life expectancy at birth for both sexes (years),76.5,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2025,Life expectancy at birth for males (years),74.4,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
500,Montserrat,2025,Life expectancy at birth for females (years),79.1,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2010,Population annual rate of increase (percent),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2010,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2010,"Under five mortality rate for both sexes (per 1,000 live births)",31.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2010,"Maternal mortality ratio (deaths per 100,000 population)",134,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
504,Morocco,2010,Life expectancy at birth for both sexes (years),70.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2010,Life expectancy at birth for males (years),69.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2010,Life expectancy at birth for females (years),72.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2015,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2015,Total fertility rate (children per women),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2015,"Under five mortality rate for both sexes (per 1,000 live births)",23.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2015,"Maternal mortality ratio (deaths per 100,000 population)",97,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
504,Morocco,2015,Life expectancy at birth for both sexes (years),72.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2015,Life expectancy at birth for males (years),71.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2015,Life expectancy at birth for females (years),74.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2020,Population annual rate of increase (percent),1.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2020,"Under five mortality rate for both sexes (per 1,000 live births)",18.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2020,"Maternal mortality ratio (deaths per 100,000 population)",72,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
504,Morocco,2020,Life expectancy at birth for both sexes (years),73.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2020,Life expectancy at birth for males (years),70.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2020,Life expectancy at birth for females (years),75.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2025,Population annual rate of increase (percent),0.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2025,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2025,"Under five mortality rate for both sexes (per 1,000 live births)",15.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
504,Morocco,2025,Life expectancy at birth for both sexes (years),75.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2025,Life expectancy at birth for males (years),73.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
504,Morocco,2025,Life expectancy at birth for females (years),78.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2010,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2010,Total fertility rate (children per women),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2010,"Under five mortality rate for both sexes (per 1,000 live births)",104.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2010,"Maternal mortality ratio (deaths per 100,000 population)",322,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
508,Mozambique,2010,Life expectancy at birth for both sexes (years),55.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2010,Life expectancy at birth for males (years),53.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2010,Life expectancy at birth for females (years),56.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2015,Population annual rate of increase (percent),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2015,Total fertility rate (children per women),5.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2015,"Under five mortality rate for both sexes (per 1,000 live births)",83.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2015,"Maternal mortality ratio (deaths per 100,000 population)",226,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
508,Mozambique,2015,Life expectancy at birth for both sexes (years),58.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2015,Life expectancy at birth for males (years),56.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2015,Life expectancy at birth for females (years),60.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2020,Population annual rate of increase (percent),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2020,Total fertility rate (children per women),5.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2020,"Under five mortality rate for both sexes (per 1,000 live births)",70.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2020,"Maternal mortality ratio (deaths per 100,000 population)",127,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
508,Mozambique,2020,Life expectancy at birth for both sexes (years),61.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2020,Life expectancy at birth for males (years),58.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2020,Life expectancy at birth for females (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2025,Population annual rate of increase (percent),2.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2025,Total fertility rate (children per women),4.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2025,"Under five mortality rate for both sexes (per 1,000 live births)",61.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
508,Mozambique,2025,Life expectancy at birth for both sexes (years),64.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2025,Life expectancy at birth for males (years),60.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
508,Mozambique,2025,Life expectancy at birth for females (years),66.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2010,Population annual rate of increase (percent),0.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2010,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2010,"Under five mortality rate for both sexes (per 1,000 live births)",63.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2010,"Maternal mortality ratio (deaths per 100,000 population)",293,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
104,Myanmar,2010,Life expectancy at birth for both sexes (years),63.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2010,Life expectancy at birth for males (years),60.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2010,Life expectancy at birth for females (years),66.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2015,Population annual rate of increase (percent),0.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2015,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2015,"Under five mortality rate for both sexes (per 1,000 live births)",51.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2015,"Maternal mortality ratio (deaths per 100,000 population)",243,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
104,Myanmar,2015,Life expectancy at birth for both sexes (years),65.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2015,Life expectancy at birth for males (years),62.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2015,Life expectancy at birth for females (years),68.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2020,Population annual rate of increase (percent),0.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2020,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2020,"Under five mortality rate for both sexes (per 1,000 live births)",43.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2020,"Maternal mortality ratio (deaths per 100,000 population)",179,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
104,Myanmar,2020,Life expectancy at birth for both sexes (years),66.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2020,Life expectancy at birth for males (years),63.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2020,Life expectancy at birth for females (years),69.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2025,Population annual rate of increase (percent),0.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2025,Total fertility rate (children per women),2.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2025,"Under five mortality rate for both sexes (per 1,000 live births)",40.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
104,Myanmar,2025,Life expectancy at birth for both sexes (years),67.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2025,Life expectancy at birth for males (years),64.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
104,Myanmar,2025,Life expectancy at birth for females (years),70.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2010,Population annual rate of increase (percent),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2010,Total fertility rate (children per women),3.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",51.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2010,"Maternal mortality ratio (deaths per 100,000 population)",482,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
516,Namibia,2010,Life expectancy at birth for both sexes (years),56.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2010,Life expectancy at birth for males (years),53.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2010,Life expectancy at birth for females (years),58.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2015,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2015,Total fertility rate (children per women),3.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",45.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2015,"Maternal mortality ratio (deaths per 100,000 population)",299,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
516,Namibia,2015,Life expectancy at birth for both sexes (years),60.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2015,Life expectancy at birth for males (years),56.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2015,Life expectancy at birth for females (years),63.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2020,Population annual rate of increase (percent),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2020,Total fertility rate (children per women),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",40.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2020,"Maternal mortality ratio (deaths per 100,000 population)",215,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
516,Namibia,2020,Life expectancy at birth for both sexes (years),64.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2020,Life expectancy at birth for males (years),60.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
